% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
4.721	2	4	1	0.999999	0
4.722	1	2	2	0.999999	0
4.722	2	5	2	0.999999	0
4.723	1	3	3	0.999999	0
4.723	2	6	3	0.999999	0
4.761	1	1	1	0.999999	0
4.761	2	4	1	0.999999	0
4.762	1	2	2	0.999999	0
4.762	2	5	2	0.999999	0
4.763	1	3	3	0.999999	0
4.763	2	6	3	0.999999	0
4.801	1	1	1	0.999999	0
4.801	2	4	1	0.999999	0
4.802	1	2	2	0.999999	0
4.802	2	5	2	0.999999	0
4.803	1	3	3	0.999999	0
4.803	2	6	3	0.999999	0
4.841	1	1	1	0.999999	0
4.841	2	4	1	0.999999	0
4.842	1	2	2	0.999999	0
4.842	2	5	2	0.999999	0
4.843	1	3	3	0.999999	0
4.843	2	6	3	0.999999	0
4.881	1	1	1	0.999999	0
4.881	2	4	1	0.999999	0
4.882	1	2	2	0.999999	0
4.882	2	5	2	0.999999	0
4.883	1	3	3	0.999999	0
4.883	2	6	3	0.999999	0
4.921	1	1	1	0.999999	0
4.921	2	4	1	0.999999	0
4.922	1	2	2	0.999999	0
4.922	2	5	2	0.999999	0
4.923	1	3	3	0.999999	0
4.923	2	6	3	0.999999	0
4.961	1	1	1	0.999999	0
4.961	2	4	1	0.999999	0
4.962	1	2	2	0.999999	0
4.962	2	5	2	0.999999	0
4.963	1	3	3	0.999999	0
4.963	2	6	3	0.999999	0
5.001	1	1	1	0.999999	0
5.001	2	4	1	0.999999	0
5.002	1	2	2	0.999999	0
5.002	2	5	2	0.999999	0
5.003	1	3	3	0.999999	0
5.003	2	6	3	0.999999	0
5.041	1	1	1	0.999999	0
5.041	2	4	1	0.999999	0
5.042	1	2	2	0.999999	0
5.042	2	5	2	0.999999	0
5.043	1	3	3	0.999999	0
5.043	2	6	3	0.999999	0
5.081	1	1	1	0.999999	0
5.081	2	4	1	0.999999	0
5.082	1	2	2	0.999999	0
5.082	2	5	2	0.999999	0
5.083	1	3	3	0.999999	0
5.083	2	6	3	0.999999	0
5.121	1	1	1	0.999999	0
5.121	2	4	1	0.999999	0
5.122	1	2	2	0.999999	0
5.122	2	5	2	0.999999	0
5.123	1	3	3	0.999999	0
5.123	2	6	3	0.999999	0
5.161	1	1	1	0.999999	0
5.161	2	4	1	0.999999	0
5.162	1	2	2	0.999999	0
5.162	2	5	2	0.999999	0
5.163	1	3	3	0.999999	0
5.163	2	6	3	0.999999	0
5.201	1	1	1	0.999999	0
5.201	2	4	1	0.999999	0
5.202	1	2	2	0.999999	0
5.202	2	5	2	0.999999	0
5.203	1	3	3	0.999999	0
5.203	2	6	3	0.999999	0
5.241	1	1	1	0.999999	0
5.241	2	4	1	0.999999	0
5.242	1	2	2	0.999999	0
5.242	2	5	2	0.999999	0
5.243	1	3	3	0.999999	0
5.243	2	6	3	0.999999	0
5.281	1	1	1	0.999999	0
5.281	2	4	1	0.999999	0
5.282	1	2	2	0.999999	0
5.282	2	5	2	0.999999	0
5.283	1	3	3	0.999999	0
5.283	2	6	3	0.999999	0
5.321	1	1	1	0.999999	0
5.321	2	4	1	0.999999	0
5.322	1	2	2	0.999999	0
5.322	2	5	2	0.999999	0
5.323	1	3	3	0.999999	0
5.323	2	6	3	0.999999	0
5.361	1	1	1	0.999999	0
5.361	2	4	1	0.999999	0
5.362	1	2	2	0.999999	0
5.362	2	5	2	0.999999	0
5.363	1	3	3	0.999999	0
5.363	2	6	3	0.999999	0
5.401	1	1	1	0.999999	0
5.401	2	4	1	0.999999	0
5.402	1	2	2	0.999999	0
5.402	2	5	2	0.999999	0
5.403	1	3	3	0.999999	0
5.403	2	6	3	0.999999	0
5.441	1	1	1	0.999999	0
5.441	2	4	1	0.999999	0
